element_id,diet,mating_season
1,"carnivore","Year-round"
2,"carnivore","Spring-Summer"
3,"herbivore","Autumn"
4,"herbivore","Summer"
5,"insectivore","Summer"
6,"herbivore","Spring-Summer"
7,"omnivore","Autumn-Winter"
8,"carnivore","Spring"
9,"carnivore","Spring"
10,"herbivore","Spring-Summer"
11,"carnivore","Spring"
12,"omnivore","Spring"
13,"omnivore","Summer"
14,"omnivore","Spring"
15,"herbivore","Spring"
16,"omnivore","Spring"
17,"carnivore","Spring"
18,"carnivore","Spring-Summer"
19,"herbivore","Spring"
20,"omnivore","Spring-Summer"
21,"carnivore","Summer"
22,"herbivore","Spring"
23,"carnivore","Autumn"
24,"omnivore","Spring"
25,"carnivore","Spring"
26,"carnivore","Summer"
27,"insectivore","Summer"
28,"insectivore","Summer"
29,"carnivore","Spring"
30,"carnivore","Spring-Summer"
61,"herbivore","Year-round"
